"統計期","長期照護機構/機構數[所]","長期照護機構/實際進住人數[人]","養護機構/機構數[所]","養護機構/實際進住人數[人]","安養機構/機構數[所]","安養機構/實際進住人數[人]","失智照顧型機構/機構數[所]","失智照顧型機構/實際進住人數[人]","老人公寓/所數[所]","老人公寓/實際進住人數[人]","老人住宅/所數[所]","老人住宅/實際進住人數[人]"
"105年 1月底",3,138,104,4135,3,664,1,61,2,108,0,0
"105年 2月底",3,138,104,4083,3,653,1,62,2,108,0,0
"105年 3月底",3,134,105,4088,3,659,1,62,2,105,0,0
"105年 4月底",4,145,104,4089,3,650,1,61,2,104,0,0
"105年 5月底",4,158,103,4076,3,637,1,59,2,106,0,0
"105年 6月底",4,164,102,4065,3,639,1,59,2,108,2,176
"105年 7月底",4,162,102,4056,3,636,1,59,2,105,2,177
"105年 8月底",4,165,102,4089,3,635,1,58,2,104,2,178
"105年 9月底",4,163,102,4100,3,635,1,59,2,103,2,177
"105年 10月底",4,160,102,4097,3,641,1,58,2,100,2,178
"105年 11月底",4,168,102,4072,3,642,1,58,2,100,2,177
"105年 12月底",4,173,101,4059,3,641,1,59,2,97,2,180
"106年 1月底",4,165,100,4054,3,632,1,62,2,94,2,176
"106年 2月底",4,160,100,4061,3,632,1,62,2,97,2,184
"106年 3月底",4,159,100,4047,3,637,1,62,2,99,2,180
"106年 4月底",4,164,99,4063,3,635,1,61,2,100,2,181
"106年 5月底",4,167,99,4040,3,633,1,60,2,101,2,181
"106年 6月底",4,176,99,4042,3,638,1,62,2,97,2,184
"106年 7月底",4,174,99,4035,3,629,1,61,2,97,2,185
"106年 8月底",4,180,97,4077,2,641,1,61,2,95,2,184
"106年 9月底",4,176,97,4081,2,642,1,60,2,95,2,185
"106年 10月底",4,179,97,4059,2,636,1,57,2,94,2,184
"106年 11月底",4,173,97,4066,2,639,1,59,2,96,2,183
"106年 12月底",4,183,97,4045,2,648,1,61,2,97,2,183
"107年 1月底",4,188,97,4047,2,643,1,62,2,98,2,185
"107年 2月底",4,184,97,4063,2,631,1,62,2,98,2,184
"107年 3月底",4,187,97,4056,2,637,1,62,2,98,2,185
"107年 4月底",4,191,97,4047,2,639,1,62,2,105,2,182
"107年 5月底",4,191,97,4028,2,638,1,58,2,105,2,182
"107年 6月底",4,197,97,4042,2,643,1,58,2,105,2,188
"107年 7月底",4,191,97,4026,2,651,1,57,2,112,2,189
"107年 8月底",4,196,97,4023,2,655,1,57,2,115,2,188
"107年 9月底",4,185,97,4052,2,655,1,60,2,122,2,186
"107年 10月底",4,190,97,4028,2,653,1,60,2,124,2,187
"107年 11月底",4,192,97,4039,2,650,1,59,2,126,2,184
"107年 12月底",4,195,97,4024,2,653,1,60,2,122,2,183
"108年 1月底",4,195,96,4048,2,655,1,59,2,126,2,183
"108年 2月底",4,189,96,4033,2,655,1,60,2,126,2,183
"108年 3月底",4,192,96,4075,2,649,1,61,2,127,2,185
"108年 4月底",4,196,96,4064,2,653,1,62,2,128,2,189
"108年 5月底",4,192,96,4077,2,657,1,60,2,128,2,189
"108年 6月底",4,190,96,4065,2,655,1,57,2,133,2,186
"108年 7月底",4,190,96,4060,2,652,1,59,2,133,2,183
"108年 8月底",4,187,95,4079,2,648,1,57,2,131,2,183
"108年 9月底",4,185,95,4112,2,641,1,59,2,133,2,186
"108年 10月底",4,186,95,4127,2,638,1,57,2,136,2,189
"108年 11月底",4,181,95,4103,2,636,1,57,2,136,2,189
"108年 12月底",4,162,95,4066,2,634,1,60,2,137,2,188
"109年 1月底",3,151,94,4061,2,628,1,58,2,135,2,188
"109年 2月底",2,142,94,4070,2,628,1,59,2,134,2,186
"109年 3月底",2,142,94,4049,2,625,1,59,2,127,2,183
"109年 4月底",2,142,94,4041,2,616,1,58,2,128,2,184
"109年 5月底",2,139,94,4025,2,618,1,55,2,130,2,183
"109年 6月底",2,141,94,4037,2,610,1,56,2,130,2,183
"109年 7月底",2,131,94,4061,2,605,1,55,2,129,2,180
"109年 8月底",2,132,94,4081,2,602,1,57,2,130,2,182
"109年 9月底",2,134,94,4100,2,607,1,57,2,132,2,185
"109年 10月底",2,134,94,4088,2,605,1,57,2,131,2,185
"109年 11月底",2,131,94,4116,2,607,1,57,2,135,2,184
"109年 12月底",2,130,94,4098,2,611,1,58,2,135,2,184
"110年 1月底",2,128,94,4086,2,611,1,58,2,137,2,182
"110年 2月底",2,129,94,4074,2,605,1,58,2,135,2,182
"110年 3月底",2,130,93,4087,2,604,1,59,2,137,2,183
"110年 4月底",2,129,93,4075,2,602,1,59,2,135,2,183
"110年 5月底",2,125,93,4065,2,597,1,58,2,135,2,179
"110年 6月底",2,125,93,3968,2,590,1,58,2,130,2,177
"110年 7月底",2,120,93,3956,2,582,1,58,2,129,2,177
"110年 8月底",2,120,93,3959,2,572,1,58,2,131,2,180
"110年 9月底",2,118,93,3967,2,563,1,57,2,128,2,184
"110年 10月底",2,117,93,3954,2,556,1,57,2,128,2,186
"110年 11月底",2,114,93,3975,2,557,1,55,2,124,2,192
"110年 12月底",2,101,93,3996,2,548,1,56,2,128,2,189
"111年 1月底",2,111,92,3630,3,923,1,51,2,128,2,187
"111年 2月底",2,108,92,3625,3,914,1,50,2,129,2,187
"111年 3月底",2,103,92,3639,3,911,1,51,2,124,2,187
"111年 4月底",2,101,92,3649,3,905,1,55,2,124,2,191
"111年 5月底",2,89,92,3575,3,889,1,49,2,134,2,192
"111年 6月底",2,65,92,3513,3,880,1,48,2,131,2,190
"111年 7月底",2,53,91,3520,3,875,1,49,2,124,2,194
"111年 8月底",2,51,91,3534,3,877,1,50,2,127,2,188
"111年 9月底",2,51,91,3541,3,865,1,50,2,126,2,186
