"統計期","捷運站別","進站人次","出站人次"
"110年","松山機場",968525,969724
"110年","中山國中",3440683,3416599
"110年","南京復興BR",3212212,3262260
"110年","忠孝復興BR",1464580,1600872
"110年","大安BR",3651942,3622804
"110年","科技大樓",3507780,3410245
"110年","六張犁",2852930,2811360
"110年","麟光",1154376,1077034
"110年","辛亥",877325,823467
"110年","萬芳醫院",3127859,3332819
"110年","萬芳社區",669144,539303
"110年","木柵",1100259,1139613
"110年","動物園",1467552,1474018
"110年","大直",2231807,2252599
"110年","劍南路",2868158,2875864
"110年","西湖",3809883,3892978
"110年","港墘",4019459,3914547
"110年","文德",1422016,1371002
"110年","內湖",2480277,2457170
"110年","大湖公園",946195,919759
"110年","葫洲",2051172,2072449
"110年","東湖",2122356,2174566
"110年","南港軟體園區",1435344,1359449
"110年","南港展覽館BR",3875900,2761933
"110年","小碧潭",933010,958267
"110年","新店",3568681,3158726
"110年","新店區公所",3138978,3310103
"110年","七張",4143457,4143919
"110年","大坪林",5119760,4841564
"110年","景美",4312085,4338794
"110年","萬隆",2695037,2600811
"110年","公館",6836249,6658264
"110年","台電大樓",4304120,4274507
"110年","古亭",8039130,7986409
"110年","中正紀念堂",6095379,5982674
"110年","小南門",2254407,2255218
"110年","頂溪",8913560,9192134
"110年","永安市場",6474341,6600521
"110年","景安",6660679,5567431
"110年","南勢角",5409871,5213314
"110年","台大醫院",5254776,5405605
"110年","台北車站BL",13754299,11760545
"110年","台北車站R",18802025,20276499
"110年","中山R",8890255,9253218
"110年","雙連",4892790,5275977
"110年","民權西路R",3479061,3645061
"110年","圓山",6999937,7190405
"110年","劍潭",6664010,6581676
"110年","士林",7102936,6963158
"110年","芝山",6041174,6045664
"110年","明德",3228584,3131199
"110年","石牌",7525962,7726609
"110年","唭哩岸",1967982,1849855
"110年","奇岩",2310660,2034099
"110年","北投",4701216,4958303
"110年","新北投",1419666,1349772
"110年","復興崗",1012565,1004936
"110年","忠義",817388,838224
"110年","關渡",3289628,3356029
"110年","竹圍",2453020,2544589
"110年","紅樹林",3064125,3383462
"110年","淡水",9214096,8445464
"110年","頂埔",2387986,2263236
"110年","永寧",3243447,3354940
"110年","土城",2053710,2023349
"110年","海山",5674237,5755444
"110年","亞東醫院",6307898,5761363
"110年","府中",7737333,6915049
"110年","板橋",9491400,10383234
"110年","新埔",9939559,9715642
"110年","江子翠",6548582,6726253
"110年","龍山寺",6695303,6418790
"110年","西門",15262101,15349849
"110年","善導寺",5035773,5193953
"110年","忠孝新生BL",6461945,6342025
"110年","忠孝復興BL",9657900,9479966
"110年","忠孝敦化",8134868,8495461
"110年","國父紀念館",4782110,5184735
"110年","市政府",15443654,15912535
"110年","永春",5083974,5130418
"110年","後山埤",4182649,4158922
"110年","昆陽",3535492,3655722
"110年","南港",5013526,5151331
"110年","南港展覽館BL",3615156,4293050
"110年","象山",3520887,3230204
"110年","台北101/世貿",6678181,6807966
"110年","信義安和",4584086,4817086
"110年","大安R",2295909,2352859
"110年","大安森林公園",2382329,2276134
"110年","北門",2932638,2953042
"110年","中山G",2021871,1878025
"110年","松江南京G",1536294,1038118
"110年","南京復興G",6063606,6568274
"110年","台北小巨蛋",5210269,5431043
"110年","南京三民",5582411,5773122
