sitename,county,aqi,pollutant,status,so2,co,o3,o3_8hr,pm10,pm2.5,no2,nox,no,wind_speed,wind_direc,publishtime,co_8hr,pm2.5_avg,pm10_avg,so2_avg,longitude,latitude,siteid
基隆,基隆市,37,,良好,0.9,0.52,19.8,39.3,18,10,22.4,24.8,2.4,0.8,290,2024/11/8 09:00,0.2,6,16,0,121.760056,25.129167,1
汐止,新北市,32,,良好,0.8,0.3,25.6,35.1,17,6,19,22.7,3.6,1.6,56,2024/11/8 09:00,0.1,7.1,15,0,121.64081,25.06624,2
萬里,新北市,48,,良好,0.7,0.15,51.1,52.4,59,10,2,2.7,0.6,5.1,59,2024/11/8 09:00,,8.2,46,0,121.689881,25.179667,3
新店,新北市,37,,良好,0.9,0.26,35.5,40.3,8,9,8.7,10.2,1.5,2.2,80,2024/11/8 09:00,0.1,8.4,10,0,121.537778,24.977222,4
土城,新北市,37,,良好,,0.4,32,40.3,16,9,14.3,15.4,1,1.4,36,2024/11/8 09:00,0.2,5.4,13,0,121.451861,24.982528,5
板橋,新北市,42,,良好,0.9,0.35,36.4,45.3,20,8,15,17.2,2.2,1.8,95,2024/11/8 09:00,0.2,8.2,15,0,121.458667,25.012972,6
新莊,新北市,37,,良好,1.5,0.28,33.8,40.4,32,8,12.8,14.8,2,3.9,89,2024/11/8 09:00,0.1,7.6,23,1,121.4325,25.037972,7
菜寮,新北市,36,,良好,0.9,0.37,34.5,39.9,19,7,13.5,15.9,2.3,3.6,98,2024/11/8 09:00,0.2,7.4,16,1,121.481028,25.06895,8
林口,新北市,33,,良好,1.2,0.32,27.2,36.8,22,5,18.7,24.8,6,3.4,89,2024/11/8 09:00,0.1,4.6,14,0,121.3654898,25.07798949,9
淡水,新北市,42,,良好,0.5,0.16,42.9,45.5,10,5,3,4.1,1.1,,,2024/11/8 09:00,0.1,5.2,12,0,121.449239,25.1645,10
士林,臺北市,42,,良好,0.9,0.21,41.6,45.9,18,10,6.6,8.1,1.4,3.4,150,2024/11/8 09:00,0.1,6.4,15,0,121.5166636,25.10334003,11
中山,臺北市,37,,良好,1.2,0.47,22.6,35.6,24,10,22.9,31.1,8.2,2.6,74,2024/11/8 09:00,0.2,8.4,17,0,121.526528,25.062361,12
萬華,臺北市,33,,良好,1.5,0.35,24.4,35.9,20,12,20.8,25.7,4.9,2.9,94,2024/11/8 09:00,0.2,7.9,17,0,121.507972,25.046503,13
古亭,臺北市,40,,良好,0.8,0.25,37.8,43.5,20,10,9.1,10.6,1.4,2.2,62,2024/11/8 09:00,0.1,7.4,15,0,121.529556,25.020608,14
松山,臺北市,40,,良好,0.8,0.31,21.5,37.3,25,11,24.8,30.5,5.7,1.9,22,2024/11/8 09:00,0.1,8.1,16,0,121.578611,25.05,15
大同,臺北市,55,二氧化氮,普通,1.4,1.08,10.9,28.4,28,14,36.2,76.5,40.3,-,-,2024/11/8 09:00,0.4,13.1,23,1,121.5134207,25.06331455,16
桃園,桃園市,38,,良好,1.6,0.33,37.6,41.9,18,11,10.6,12.4,1.7,3,60,2024/11/8 09:00,0.2,8.1,15,0,121.3050053,24.9947107,17
大園,桃園市,35,,良好,1.1,0.2,34.9,38.1,21,9,15.2,19.7,4.5,5.1,60,2024/11/8 09:00,0.1,6.7,15,1,121.2025147,25.06100357,18
觀音,桃園市,38,,良好,1.1,0.11,40,41.5,31,7,8.2,10.2,1.9,7.7,80,2024/11/8 09:00,0.1,8,23,1,121.0828309,25.03556747,19
平鎮,桃園市,39,,良好,1.4,0.32,38.1,42.7,17,10,10.6,13.1,2.4,4.3,74,2024/11/8 09:00,0.1,8.4,14,1,121.203986,24.952786,20
龍潭,桃園市,38,,良好,0.9,0.18,37.9,41,17,3,,,,7.5,51,2024/11/8 09:00,0.1,4.4,11,0,121.2164577,24.86400048,21
湖口,新竹縣,38,,良好,0.8,0.2,40.5,41.7,16,7,6,7.5,1.4,7.7,49,2024/11/8 09:00,0.1,7,13,0,121.0388689,24.90009696,22
竹東,新竹縣,40,,良好,0.3,0.15,39.5,43,6,1,5.2,6.3,1,3.1,46,2024/11/8 09:00,0.1,1,3,0,121.0889549,24.74091408,23
新竹,新竹市,40,,良好,1.6,0.24,40,43.1,18,6,8.3,9.7,1.4,4.3,36,2024/11/8 09:00,0.1,3.5,10,1,120.9723675,24.8056356,24
頭份,苗栗縣,40,,良好,1,0.23,39.7,43.1,14,6,8.4,11,2.5,2.5,33,2024/11/8 09:00,0.1,4.6,9,1,120.8986929,24.69690679,25
苗栗,苗栗縣,37,,良好,1.5,0.18,39.4,40,9,8,6.2,7.8,1.6,3.9,21,2024/11/8 09:00,0.1,5.2,4,1,120.8201147,24.56499183,26
