序號,區域別,總計,男,女
1,台南總計,"2,850",1275,"1,575"
2,東  區,358,148,210
3,南  區,133,56,77
4,北  區,114,38,76
5,安南區,75,37,38
6,安平區,135,65,70
7,中西區,136,65,71
8,新營區,46,21,25
9,永康區,150,41,109
10,鹽水區,92,35,57
11,白河區,82,34,48
12,麻豆區,55,28,27
13,佳里區,56,24,32
14,新化區,72,31,41
15,善化區,144,68,76
16,學甲區,126,55,71
17,柳營區,35,16,19
18,後壁區,95,58,37
19,東山區,159,67,92
20,下營區,44,24,20
21,六甲區,46,18,28
22,官田區,56,23,33
23,大內區,49,31,18
24,西港區,70,18,52
25,七股區,40,15,25
26,將軍區,84,42,42
27,北門區,22,6,16
28,新市區,49,27,22
29,安定區,50,26,24
30,山上區,36,27,9
31,玉井區,37,18,19
32,楠西區,6,1,5
33,南化區,63,40,23
34,左鎮區,10,4,6
35,仁德區,70,36,34
36,歸仁區,15,5,10
37,關廟區,27,15,12
38,龍崎區,13,12,1
