景點名稱,AreaCode,地址,景點介紹
"新竹州廳—新竹市政府","10018020","新竹市中正路120號","新竹州廳建於1925年，建築形式為和洋混合風格，是當時常用建築風格。正門玄關採用雙柱式門廊搭配兩側小塔樓，頗有氣勢。大廳內的洋式拱廊與羅馬柱十分氣派，翼樓突出的量體增加了穩重感，整體形式視野開闊，氣勢磅礡。"
"都城隍廟","10018020","新竹市中山路75號","為三級古蹟，與竹蓮寺、外天后宮並稱為新竹三大廟宇，建築規模宏大，本體採三殿式，龍柱、石獅大門上方八卦藻井都是一代名匠所造，大殿上懸掛的「金門保障」匾額，為清光緒帝所賜，是全台位階最高的城隍爺。"
"新竹驛—新竹火車站","10018010","新竹市中華路二段445號","新竹百年老車站建於1913年，由留學德國的日本人松ケ崎萬長設計，是一座混合式的西洋建築，新竹驛呈現德國近代建築風采，主要採德式歌德建築元素，但也具有部分巴洛克建築風格，迥異於同時期其他官廳建築，是鐵道建築中的經典。"
"香山火車站","10018030","新竹市中華路5段349巷2弄7號","香山驛建於1928年，是西部鐵道幹線碩果僅存的木造火車站之一，以阿里山運來的檜木，建造純日式風格建築，至今依然保存完好。雖然候車空間狹小，但與當地人生活息息相關，成為香山人記憶中不可或缺的建築。"
"十八尖山","10018010","新竹市寶山路與博愛路","小巧的十八尖山為小百岳之一，是昭和2年開闢，十八尖山路線圖呈新月形，漫山蜿蜒約7、8公里，環繞了新竹市東南郊。十八尖山是確實有十八個淺淺的尖山頭，沿途遍山茂林與花卉，夾道飄香，是市民運動休閒的路線。十八尖山有多座涼亭，幸福亭是一座造型典雅的六角亭，介壽亭則位在最高點，山林內有33尊石觀音雕像（現存24座），是台灣修建最早的森林公園。每逢花季盛開，如茶花、杜鵑花、杏花與桃花、桂花等，景致迷人。"
"高峰植物園","10018010","新竹市東區寶山路仙宮里9鄰","高峰植物園設於1932年日治時代，原名「新竹州立赤土崎林業試驗場」，佔地二、三十公頃，培育多種本土植物及外來樹種，計有342種植物，目前並已發現40種鳥類及20種蟲類，四季還有候鳥行經或留鳥棲息，擁有豐美生態體系。"
"青青草原","10018030","新竹市元培街往香山中學方向(沿路有標示)","青青草原位於香山丘陵內，保有牧草區與林像，是新竹市難得的自然山林。這一片一望無際翠綠的大草原有油桐植栽，黑板樹植栽、休憩涼亭，是踏青及放風箏的好所在。"
"青青草原溜滑梯","10018030","新竹市草原路青青草原入口處","青青草原草原路入口區配合山丘地形，打造戶外兒童遊樂場設置探索區與賞鳥教育區，設置有四座大型磨石子彩色溜滑梯，溜滑梯最長滑道總長約54公尺，為北台灣最長磨石子溜滑梯。探索區除溜滑梯外並有兒童爬網，賞鳥樹屋，兒童傳聲筒等遊樂設施，小朋友奔跑在木平台階梯，由戶外溜滑梯高處滑下可觀賞五色鳥，紅嘴黑鵯，喜鵲等，為最大也最有趣的自然生態兒童遊樂場，可為大朋友及小朋友帶來高探索性的豐富遊樂體驗。"
"青草湖","10018010","新竹市明湖路775巷","青草湖曾為重要水庫，新竹市政府於民國96年以杭州西湖為藍圖，徹底改造青草湖，形成小西湖的景致。環湖步道串聯了周邊風景，靈隱寺、鳳凰橋、映月橋、于飛島等景點，很適合慢步或單車環湖。新竹市政府近年著手推動青草湖環境改善，積極進行清淤工作，並針對景觀平台、木棧道、照明設施規劃整建，更推出新型水域遊憩，106年9月青草湖水域遊憩中心開始營運，帶入運動、休閒元素，結合青草湖環境優勢，舉辦各項水上活動，營造城市運動風氣。"
"十七公里海岸線","10018020","東西向快速道路西端終點附近，頭前溪橋出海口","新竹沿海蔚藍海岸線十七公里處，上千公頃的潮間帶，是北台灣最大的海濱溼地，孕育了大量的蝦蟹螺貝類，漁產豐富的新竹漁港，除了嘗海鮮、放風箏、欣賞港口各式漁船美景之外，也能騎鐵馬欣賞沿途怡人的風光。而紅樹林公園、金城湖賞鳥區、賞鳥棧道，則富含各種生態風貌，客雅溪口潮間帶留鳥與候鳥時時流連，騎著自行車在海邊逐風而行，或是晨起賞鳥暮映落日，是假日舒適的好去處。香山濕地自然生態區、美山蔚藍海岸區、海山漁港等地，遍地的招潮蟹與和尚蟹，是極富樂趣與教育意義的親子戲水弄潮天堂。"
