證券代號,證券名稱,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
"0050","元大台灣50","33596096","6693832518","199.30","200.20","197.25","198.10","4.8000","28236"
"0051","元大中型100","225770","18451007","81.85","82.65","81.25","81.35","-0.5000","450"
"0052","富邦科技","2233354","440407026","199.40","199.40","195.00","195.00","4.0000","2936"
"0053","元大電子","39988","4269884","106.00","107.30","105.90","106.45","3.0500","155"
"0055","元大MSCI金融","272850","8160941","29.62","30.00","29.62","29.91","0.3600","347"
"0056","元大高股息","59252057","2259651492","38.33","38.35","38.00","38.06","-0.0600","38979"
"0057","富邦摩台","18712","2737745","146.30","146.80","145.85","145.85","3.6000","94"
"0061","元大寶滬深","3468991","66414955","19.16","19.56","19.01","19.45","0.0800","1373"
"006203","元大MSCI台灣","14913","1397316","93.70","94.00","93.15","93.15","1.7500","96"
"006204","永豐臺灣加權","14073","1668508","118.60","118.85","118.10","118.55","2.3000","151"
"006205","富邦上証","2516218","82346861","32.70","33.35","32.33","33.11","0.1600","1030"
"006206","元大上證50","1384605","43186643","31.50","31.80","30.91","31.63","-0.0300","410"
"006207","復華滬深","594490","14721290","24.49","25.33","24.30","25.13","0.2500","243"
"006208","富邦台50","17517219","2041576161","116.75","117.20","115.45","115.90","2.7000","18827"
"00625K","富邦上証+R","2000","14560","7.28","7.28","7.28","7.28","0.0000","2"
"00631L","元大台灣50正2","12207340","3127320154","257.05","258.45","252.45","253.90","8.8000","10594"
"00632R","元大台灣50反1","322619761","1032345054","3.20","3.22","3.18","3.21","-0.0600","12043"
"00633L","富邦上証正2","18576095","737109854","38.77","41.40","38.69","40.70","0.5200","4580"
"00634R","富邦上証反1","1508253","6171612","4.12","4.14","4.02","4.05","-0.0200","135"
"00635U","期元大S&P黃金","939712","29390116","31.12","31.35","31.09","31.34","0.3500","496"
"00636","國泰中國A50","7009846","160954820","22.87","23.47","22.67","23.25","0.1100","1555"
"00636K","國泰中國A50+U","200","1434","7.17","7.17","7.17","7.17","-0.0200","2"
"00637L","元大滬深300正2","205300432","3277995464","15.63","16.65","15.50","16.41","0.2900","24551"
"00638R","元大滬深300反1","1514680","12914640","8.60","8.68","8.38","8.43","-0.0800","266"
"00639","富邦深100","8567148","101993112","11.72","12.30","11.61","12.20","0.3400","1682"
"00640L","富邦日本正2","354879","18358316","51.80","51.95","51.45","51.60","0.0500","189"
"00641R","富邦日本反1","523670","3241693","6.19","6.22","6.17","6.20","-0.0200","64"
"00642U","期元大S&P石油","2442822","40461122","16.57","16.61","16.53","16.58","0.0600","489"
"00643","群益深証中小","10617866","134981654","12.53","13.03","12.44","12.94","0.2400","698"
"00643K","群益深証中小+R","","","","","","","0.0000",""
"00645","富邦日本","669724","24852909","37.09","37.18","36.96","37.02","0.0100","259"
"00646","元大S&P500","1339554","78672779","58.70","58.80","58.65","58.70","0.0500","1149"
"00647L","元大S&P500正2","13518","1321069","97.65","97.75","97.65","97.75","0.1000","42"
"00648R","元大S&P500反1","234109","1221137","5.23","5.23","5.21","5.22","-0.0100","39"
"00650L","復華香港正2","32217816","406055498","12.36","13.03","12.30","12.89","0.0700","4023"
"00651R","復華香港反1","2216748","16369598","7.44","7.49","7.28","7.32","-0.0400","185"
"00652","富邦印度","884884","34716968","39.50","39.50","39.10","39.36","-0.2500","682"
"00653L","富邦印度正2","779810","49855780","64.30","64.50","63.60","64.40","-0.5500","384"
"00654R","富邦印度反1","747000","4720640","6.32","6.34","6.30","6.30","0.0000","108"
"00655L","國泰中國A50正2","10554304","285459195","26.41","28.22","26.33","27.79","0.4100","2185"
"00656R","國泰中國A50反1","1107239","8423358","7.69","7.71","7.44","7.51","-0.0500","177"
"00657","國泰日經225","71264","3266342","45.77","45.88","45.68","45.75","-0.0100","97"
"00657K","國泰日經225+U","200","2866","14.33","14.33","14.33","14.33","0.0400","2"
"00660","元大歐洲50","4153","148633","35.79","35.79","35.78","35.78","0.0000","7"
"00661","元大日經225","160704","8002618","49.91","49.99","49.74","49.84","0.0000","172"
"00662","富邦NASDAQ","1719342","143840617","83.60","83.80","83.45","83.75","0.2500","1248"
"00663L","國泰臺灣加權正2","17198","4036896","234.95","235.80","232.50","232.50","8.4000","17"
"00664R","國泰臺灣加權反1","22514578","81399698","3.61","3.65","3.60","3.64","-0.0500","1048"
"00665L","富邦恒生國企正2","86761198","733268690","8.31","8.78","8.25","8.69","0.0700","7650"
"00666R","富邦恒生國企反1","272000","3341130","12.40","12.42","12.17","12.17","0.0100","70"
"00668","國泰美國道瓊","25653","1294487","50.50","50.50","50.40","50.45","0.0500","89"
"00668K","國泰美國道瓊+U","200","3142","15.71","15.71","15.71","15.71","0.0600","2"
"00669R","國泰美國道瓊反1","2685162","17530262","6.54","6.54","6.52","6.54","-0.0300","221"
"00670L","富邦NASDAQ正2","545616","68949218","126.15","126.60","126.10","126.45","0.8000","359"
"00671R","富邦NASDAQ反1","2963181","10860642","3.66","3.67","3.66","3.67","0.0000","154"
"00673R","期元大S&P原油反1","7419158","55444148","7.49","7.50","7.45","7.46","-0.0300","543"
"00674R","期元大S&P黃金反1","1784559","16634490","9.37","9.37","9.30","9.31","-0.1100","305"
"00675L","富邦臺灣加權正2","10050101","1028086995","102.75","103.15","100.80","101.35","3.4000","5987"
"00676R","富邦臺灣加權反1","10557509","21246290","2.01","2.03","2.00","2.03","-0.0200","589"
"00678","群益那斯達克生技","410374","12489680","30.43","30.45","30.41","30.42","-0.1500","102"
"00680L","元大美債20正2","90352134","780684092","8.66","8.66","8.62","8.64","-0.2400","9443"
"00681R","元大美債20反1","1476000","29677010","20.04","20.13","20.04","20.13","0.2800","42"
"00682U","期元大美元指數","54683","1149403","21.01","21.03","21.00","21.03","0.0200","11"
"00683L","期元大美元指正2","57132","1290580","22.60","22.60","22.57","22.60","0.0500","14"
"00684R","期元大美元指反1","68000","1045750","15.37","15.39","15.37","15.39","-0.0200","14"
"00685L","群益臺灣加權正2","1675239","153068673","91.55","92.15","90.05","90.50","3.1000","1016"
"00686R","群益臺灣加權反1","1126597","2466805","2.19","2.21","2.18","2.21","-0.0300","76"
"00688L","國泰20年美債正2","49946313","429348362","8.60","8.62","8.58","8.60","-0.2200","4847"
"00689R","國泰20年美債反1","1000","20830","20.83","20.83","20.83","20.83","0.2500","1"
"00690","兆豐藍籌30","1777703","63791213","36.01","36.01","35.68","35.76","0.5500","647"
"00692","富邦公司治理","4661594","216730844","46.91","46.91","46.09","46.20","0.9800","3359"
"00693U","期街口S&P黃豆","249161","5015871","20.15","20.19","20.09","20.12","0.1600","98"
"00700","富邦恒生國企","1256739","18747917","15.00","15.21","14.70","15.14","-0.0100","440"
"00701","國泰股利精選30","782239","23292972","29.52","29.86","29.52","29.77","0.2500","523"
"00702","國泰標普低波高息","29300","758719","25.90","25.93","25.90","25.92","-0.0800","92"
"00703","台新MSCI中國","437158","7590998","17.35","17.69","17.21","17.64","-0.0200","176"
"00706L","期元大S&P日圓正2","8575558","54707923","6.38","6.40","6.36","6.40","-0.0300","1159"
"00707R","期元大S&P日圓反1","","","","","","","0.0000",""
"00708L","期元大S&P黃金正2","1388602","59260664","42.38","42.91","42.32","42.89","0.8600","392"
"00709","富邦歐洲","1213","36277","","","","","0.0000","101"
"00710B","復華彭博非投等債","72848","1431072","19.69","19.69","19.63","19.63","-0.0600","66"
"00711B","復華彭博新興債","192980","3232368","16.75","16.76","16.74","16.74","-0.1400","78"
"00712","復華富時不動產","8763093","86452937","9.89","9.89","9.85","9.87","-0.0400","3279"
"00713","元大台灣高息低波","9113124","524368986","57.50","57.65","57.35","57.40","0.2000","6639"
"00714","群益道瓊美國地產","607086","13648959","22.63","22.63","22.43","22.49","-0.1200","130"
"00715L","期街口布蘭特正2","19206842","258172916","13.44","13.53","13.38","13.48","0.0600","2005"
"00717","富邦美國特別股","159728","2651941","16.61","16.62","16.60","16.61","-0.0600","145"
"00728","第一金工業30","327094","11036863","33.88","33.88","33.42","33.44","0.2000","190"
"00730","富邦臺灣優質高息","2303149","52194270","22.69","22.85","22.56","22.56","-0.1300","1154"
"00731","復華富時高息低波","1159660","86369608","74.45","74.75","74.20","74.25","0.0500","771"
"00733","富邦臺灣中小","1917134","104776523","55.45","55.50","54.20","54.40","-0.7000","3731"
"00735","國泰臺韓科技","384068","13086304","34.56","34.56","33.81","33.90","0.2100","262"
