type,oc_year,oc_data,oc_county,oc_region
案類,發生年度,發生日期,發生縣市,發生鄉鎮市區
住宅竊盜,110,0401,臺中市,清水區
住宅竊盜,110,0401,臺南市,麻豆區
住宅竊盜,110,0401,臺中市,太平區
住宅竊盜,110,0401,南投縣,埔里鎮
住宅竊盜,110,0401,新竹縣,新埔鎮
住宅竊盜,110,0401,臺南市,佳里區
住宅竊盜,110,0402,新北市,三重區
住宅竊盜,110,0402,臺南市,東區
住宅竊盜,110,0402,宜蘭縣,三星鄉
住宅竊盜,110,0402,彰化縣,鹿港鎮
住宅竊盜,110,0402,臺北市,信義區
住宅竊盜,110,0403,新北市,三重區
住宅竊盜,110,0403,新竹縣,尖石鄉
住宅竊盜,110,0403,臺中市,沙鹿區
住宅竊盜,110,0403,臺南市,學甲區
住宅竊盜,110,0404,新北市,三重區
住宅竊盜,110,0404,新北市,汐止區
住宅竊盜,110,0404,南投縣,鹿谷鄉
住宅竊盜,110,0404,南投縣,草屯鎮
住宅竊盜,110,0404,臺南市,後壁區
住宅竊盜,110,0404,新竹縣,竹東鎮
住宅竊盜,110,0404,臺北市,士林區
住宅竊盜,110,0404,澎湖縣,湖西鄉
住宅竊盜,110,0404,新北市,新莊區
住宅竊盜,110,0405,苗栗縣,三灣鄉
住宅竊盜,110,0405,雲林縣,水林鄉
住宅竊盜,110,0405,新北市,三重區
住宅竊盜,110,0405,南投縣,竹山鎮
住宅竊盜,110,0405,臺北市,文山區
住宅竊盜,110,0405,臺北市,文山區
住宅竊盜,110,0406,南投縣,埔里鎮
住宅竊盜,110,0406,臺北市,北投區
住宅竊盜,110,0406,臺南市,善化區
住宅竊盜,110,0406,新北市,中和區
住宅竊盜,110,0407,嘉義市,西區
住宅竊盜,110,0407,苗栗縣,竹南鎮
住宅竊盜,110,0407,臺南市,新市區
住宅竊盜,110,0407,彰化縣,福興鄉
住宅竊盜,110,0407,南投縣,草屯鎮
住宅竊盜,110,0407,新北市,貢寮區
住宅竊盜,110,0407,新北市,金山區
住宅竊盜,110,0408,臺南市,六甲區
住宅竊盜,110,0408,高雄市,三民區
住宅竊盜,110,0408,新竹市,東區
住宅竊盜,110,0408,嘉義縣,竹崎鄉
住宅竊盜,110,0409,新北市,中和區
住宅竊盜,110,0409,新竹市,東區
住宅竊盜,110,0409,宜蘭縣,礁溪鄉
住宅竊盜,110,0409,南投縣,草屯鎮
住宅竊盜,110,0409,桃園市,中壢區
住宅竊盜,110,0409,高雄市,仁武區
住宅竊盜,110,0410,桃園市,觀音區
住宅竊盜,110,0411,基隆市,中山區
住宅竊盜,110,0411,臺北市,北投區
住宅竊盜,110,0411,臺北市,萬華區
住宅竊盜,110,0411,新竹縣,竹東鎮
住宅竊盜,110,0411,南投縣,草屯鎮
住宅竊盜,110,0411,澎湖縣,白沙鄉
住宅竊盜,110,0412,臺南市,新市區
住宅竊盜,110,0413,新竹市,東區
住宅竊盜,110,0413,臺中市,北區
住宅竊盜,110,0413,臺中市,西區
住宅竊盜,110,0413,臺南市,佳里區
住宅竊盜,110,0413,新北市,中和區
住宅竊盜,110,0413,花蓮縣,花蓮市
住宅竊盜,110,0414,臺北市,松山區
住宅竊盜,110,0414,新北市,永和區
住宅竊盜,110,0414,臺中市,大安區
住宅竊盜,110,0414,臺北市,大同區
住宅竊盜,110,0414,臺南市,仁德區
住宅竊盜,110,0414,臺北市,大同區
住宅竊盜,110,0414,臺南市,南區
住宅竊盜,110,0414,臺北市,內湖區
住宅竊盜,110,0415,新北市,三重區
住宅竊盜,110,0415,新竹縣,竹東鎮
住宅竊盜,110,0415,高雄市,前鎮區
住宅竊盜,110,0415,新北市,三重區
住宅竊盜,110,0415,彰化縣,花壇鄉
住宅竊盜,110,0415,雲林縣,莿桐鄉
住宅竊盜,110,0415,彰化縣,大村鄉
住宅竊盜,110,0416,臺北市,萬華區
住宅竊盜,110,0416,桃園市,桃園區
住宅竊盜,110,0416,臺南市,佳里區
住宅竊盜,110,0416,臺南市,仁德區
住宅竊盜,110,0417,臺北市,北投區
住宅竊盜,110,0417,新北市,中和區
住宅竊盜,110,0418,新竹縣,竹東鎮
住宅竊盜,110,0418,新北市,三重區
住宅竊盜,110,0418,花蓮縣,吉安鄉
住宅竊盜,110,0418,新北市,新莊區
住宅竊盜,110,0418,花蓮縣,吉安鄉
住宅竊盜,110,0418,澎湖縣,馬公市
住宅竊盜,110,0418,新竹市,東區
住宅竊盜,110,0419,花蓮縣,鳳林鎮
住宅竊盜,110,0419,臺南市,北門區
住宅竊盜,110,0419,雲林縣,西螺鎮
住宅竊盜,110,0419,彰化縣,員林市
