年度,作業收入（金額）,作業外收入（金額）,作業支出（金額）,作業外支出（金額）
2005,60203663,0,0,0
2006,1235817006,3530334706,0,-3300312310
2007,4045699170,561794899,-3290183789,-603482972
2008,27598532896,590452905,-45261852257,-286780393
2009,86112177594,565125732,-37999610235,-256635822
2010,80473671342,435503615,-72270159107,-149725524
2011,87023850055,389784203,-113424908360,-116292195
2012,114497853997,462902365,-73863024918,-96484173
2013,137819904136,495959568,-82159981760,-57869689
2014,172924773146,460184142,-97524800138,-46656565
2015,183045445970,517259089,-184353972546,-48415029
2016,230239020707,586413709,-178698195432,-50558585
2017,289473452299,745159500,-148832262232,-51582292
2018,292582678851,807299030,-334967003063,-84167797
2019,454168111309,844097326,-187160940379,-58637998
2020,733817041431,685697536,-555639773620,-62841340
2021,645953043766,826047719,-362268442042,-69953567
2022,871206048656,896245283,-1099232055470,-72139754
2023,1041037508509,975088792,-562474241188,-73969783
