年別,全體－男性,全體－女性,國中及以下－男性,國中及以下－女性,高中高職－男性,高中高職－女性,大專及以上－男性,大專及以上－女性
82,1.2,1.5,0.7,0.5,1.3,2.1,2.3,2.4
83,1.6,1.4,1.3,0.6,1.8,2,2.1,2.2
84,1.2,1.2,0.7,0.6,1.6,1.5,1.4,2.1
85,1.9,2.3,1.4,0.9,2.8,2.7,1.5,4
86,2.5,2,3,0.9,2,2.5,2.6,2.9
87,2.3,1.7,2.3,1.2,2.1,1.7,2.6,2.5
88,2.3,1.5,2.4,1.1,2.4,1.4,1.9,2.4
89,2.3,1.7,2.4,1.4,2.6,1.4,1.7,2.4
90,4.7,3.8,5.8,3.1,5.2,4.3,2.5,3.7
91,6.2,3.4,7.7,1.8,6.8,3.9,3.6,4.6
92,5.4,3.7,6.2,2.9,6.2,4.1,3.6,3.9
93,4.4,3.4,4.2,2.8,4.9,3.4,3.9,3.9
94,4.1,3.9,4.1,2.9,5,4.5,3.2,3.9
95,3.8,4.2,3.9,2.5,4.6,4.8,2.7,4.6
96,4.2,3.7,3.6,2.5,5.4,3.7,3.2,4.3
97,4.6,3.9,4.5,2.2,5,3.8,4.3,4.7
98,6.6,5.2,7.3,4.8,7.7,6.1,5.1,4.6
99,5.9,4.6,6,3.5,7.1,4.8,4.6,4.8
100,4.6,4.2,5.2,2.5,4.9,5,4,4.2
101,4.6,3.9,5.5,2.3,4.4,3.6,4.4,4.6
102,4.8,3.6,5.2,2.5,4.9,3.7,4.6,3.9
103,4.5,3.4,5.5,2,4.2,3.1,4.4,4.1
104,4.3,3.3,4.5,1.1,4.5,3.1,4.2,4
105,4.4,3.6,5.2,4.4,4.6,3.2,3.8,3.7
106,4.2,3.4,4.1,2.7,5.2,3.5,3.3,3.6
107,4.1,3.4,3.7,3.6,4.9,3.2,3.6,3.5
108,4,3.6,5.3,3.2,3.9,2.8,3.6,4.2
109,4,3.9,2.6,2.2,4.4,3.9,4.2,4.2
110,4,4,3.3,2.4,4,3,4.1,4.9
111,4.1,3.3,3.8,3.1,3.9,2.7,4.3,3.6
112,3.7,3.3,4.3,3.6,3.5,2.9,3.8,3.4
