年別,性別,總計,未滿20歲,20~24歲,25~29歲,30~44歲,45~64歲,65歲以上
57年,合計,4769,1728,1183,710,765,383,-
57年,男,3742,1210,775,642,739,376,-
57年,女,1027,518,408,68,26,7,-
58年,合計,6933,2750,1825,978,943,437,-
58年,男,5243,1864,1209,868,879,423,-
58年,女,1690,886,616,110,64,14,-
59年,合計,17602,7479,5149,2076,1861,1037,-
59年,男,12401,4724,3046,1862,1757,1012,-
59年,女,5201,2755,2103,214,104,25,-
60年,合計,16803,7273,4935,1857,1753,985,-
60年,男,12690,4983,3325,1736,1675,971,-
60年,女,4113,2290,1610,121,78,14,-
61年,合計,20227,8687,6091,2238,1943,1268,-
61年,男,14951,5919,3935,2071,1800,1226,-
61年,女,5276,2768,2156,167,143,42,-
62年,合計,14191,6485,4097,1470,1132,1007,-
62年,男,9450,3527,2543,1357,1056,967,-
62年,女,4741,2958,1554,113,76,40,-
63年,合計,22439,9405,7168,3080,1546,1240,-
63年,男,15716,6004,4448,2711,1368,1185,-
63年,女,6723,3401,2720,369,178,55,-
64年,合計,21431,9108,6832,2612,1512,1367,-
64年,男,13727,4979,3936,2283,1252,1277,-
64年,女,7704,4129,2896,329,260,90,-
65年,合計,20811,7408,6996,3133,1533,1741,-
65年,男,15554,5164,4731,2682,1330,1647,-
65年,女,5257,2244,2265,451,203,94,-
66年,合計,23172,9163,6882,3534,1690,1864,39
66年,男,17385,6396,4797,3005,1368,1782,37
66年,女,5787,2767,2085,529,322,82,2
67年,合計,18479,7733,5402,2466,1205,1636,37
67年,男,13145,5274,3315,2036,945,1539,36
67年,女,5334,2459,2087,430,260,97,1
68年,合計,14502,5344,4192,2083,1196,1636,51
68年,男,10446,3398,2725,1781,956,1536,50
68年,女,4056,1946,1467,302,240,100,1
69年,合計,15856,5658,4890,2337,1395,1509,67
69年,男,11216,3563,3259,1865,1079,1386,64
69年,女,4640,2095,1631,472,316,123,3
70年,合計,14924,5342,3976,2139,1447,1931,89
70年,男,10912,3499,2542,1793,1192,1802,84
70年,女,4012,1843,1434,346,255,129,5
71年,合計,23138,6469,8432,3482,2342,2311,102
71年,男,15126,4150,4059,2774,1917,2126,100
71年,女,8012,2319,4373,708,425,185,2
72年,合計,17969,5805,5116,2924,2180,1863,81
72年,男,13207,4025,3183,2440,1811,1668,80
72年,女,4762,1780,1933,484,369,195,1
73年,合計,23099,6494,7236,4112,2901,2250,106
73年,男,16202,4255,4388,3103,2375,1980,101
73年,女,6897,2239,2848,1009,526,270,5
74年,合計,27963,8194,9723,5031,3208,1735,72
74年,男,20051,5479,6559,4119,2459,1371,64
74年,女,7912,2715,3164,912,749,364,8
75年,合計,30143,6494,10893,6701,4063,1924,68
75年,男,18584,4258,6135,4038,2534,1558,61
75年,女,11559,2236,4758,2663,1529,366,7
76年,合計,28105,3296,10275,7845,4887,1693,109
76年,男,14117,2017,3363,3868,3351,1425,93
76年,女,13988,1279,6912,3977,1536,268,16
77年,合計,19060,2547,6054,5245,3599,1450,165
77年,男,11501,1364,2575,3211,2938,1258,155
77年,女,7559,1183,3479,2034,661,192,10
78年,合計,22006,1911,7464,7874,2949,1557,251
78年,男,10693,968,2595,3815,1784,1296,235
78年,女,11313,943,4869,4059,1165,261,16
79年,合計,33841,3284,9435,12655,6404,1818,245
79年,男,13658,1233,2908,4567,3344,1376,230
79年,女,20183,2051,6527,8088,3060,442,15
80年,合計,21715,2486,6834,5039,5180,1905,271
80年,男,11185,953,2654,3005,2933,1383,257
80年,女,10530,1533,4180,2034,2247,522,14
81年,合計,26844,2075,8286,7974,6635,1576,298
81年,男,11913,921,3034,3522,3083,1078,275
81年,女,14931,1154,5252,4452,3552,498,23
82年,合計,20616,1846,6707,5318,5163,1245,337
82年,男,9181,693,2559,2446,2205,952,326
82年,女,11435,1153,4148,2872,2958,293,11
83年,合計,15879,2194,4968,4260,3006,1169,282
83年,男,8026,1156,1865,2143,1762,828,272
83年,女,7853,1038,3103,2117,1244,341,10
84年,合計,46341,1396,12030,21124,9132,2344,315
84年,男,19636,740,4982,7056,5041,1518,299
84年,女,26705,656,7048,14068,4091,826,16
85年,合計,18162,1314,5806,4363,4759,1604,316
85年,男,9256,538,2283,2422,2616,1115,282
85年,女,8906,776,3523,1941,2143,489,34
86年,合計,13355,1165,4264,2857,3196,1575,298
86年,男,7422,446,1940,1719,2020,1020,277
86年,女,5933,719,2324,1138,1176,555,21
87年,合計,19504,2124,5892,3504,5566,2149,269
87年,男,10143,857,2735,1923,2983,1405,240
87年,女,9361,1267,3157,1581,2583,744,29
88年,合計,34592,2947,11932,8321,7372,3763,257
88年,男,16225,1221,4969,3046,4326,2424,239
88年,女,18367,1726,6963,5275,3046,1339,18
89年,合計,27533,1522,4786,3924,11339,5771,191
89年,男,15842,764,2554,2427,6484,3446,167
89年,女,11691,758,2232,1497,4855,2325,24
90年,合計,58636,1828,8420,9042,22504,16309,533
90年,男,29132,829,3349,4235,11648,8674,397
90年,女,29504,999,5071,4807,10856,7635,136
91年,合計,66879,1283,8157,9503,23974,23473,489
91年,男,31325,532,2920,4089,11153,12278,353
91年,女,35554,751,5237,5414,12821,11195,136
92年,合計,58753,979,5782,7730,22678,21258,326
92年,男,27829,424,2330,3390,10155,11281,249
92年,女,30924,555,3452,4340,12523,9977,77
93年,合計,47945,416,3390,6204,19157,18405,373
93年,男,21388,237,1477,2824,8188,8685,277
93年,女,26257,179,1913,3380,10969,9720,96
94年,合計,47715,875,4526,6569,19637,15812,296
94年,男,19645,430,1760,2897,7488,6843,227
94年,女,28070,445,2766,3672,12149,8969,69
95年,合計,53898,966,5891,7898,22114,16709,320
95年,男,23476,465,2397,3504,9304,7568,238
95年,女,30422,501,3494,4394,12810,9141,82
96年,合計,54299,937,5219,8627,22625,16441,450
96年,男,23471,417,2004,3761,9478,7463,348
96年,女,30828,520,3215,4866,13147,8978,102
97年,合計,65681,906,5054,10398,28187,20563,573
97年,男,29303,473,2001,4651,12332,9441,405
97年,女,36378,433,3053,5747,15855,11122,168
98年,合計,91787,948,6559,15946,38383,29413,538
98年,男,43287,476,2448,7606,17856,14528,373
98年,女,48500,472,4111,8340,20527,14885,165
99年,合計,73871,904,7511,9949,27625,27340,542
99年,男,33188,389,2917,4625,11996,12902,359
99年,女,40683,515,4594,5324,15629,14438,183
100年,合計,61225,732,4914,14533,20927,19613,506
100年,男,27957,354,1800,6979,9134,9345,345
100年,女,33268,378,3114,7554,11793,10268,161
101年,合計,56388,835,5090,7215,22850,19853,545
101年,男,25857,376,2112,3530,10305,9171,363
101年,女,30531,459,2978,3685,12545,10682,182
102年,合計,47166,445,4158,6196,19986,15870,511
102年,男,21971,215,1807,2976,9129,7522,322
102年,女,25195,230,2351,3220,10857,8348,189
103年,合計,44765,368,4177,5752,18746,15110,612
103年,男,21111,194,1692,2714,8714,7400,397
103年,女,23654,174,2485,3038,10032,7710,215
104年,合計,46590,436,4375,6939,19195,15027,618
104年,男,22503,213,1843,3606,9160,7268,413
104年,女,24087,223,2532,3333,10035,7759,205
105年,合計,54651,435,5314,8434,21712,17866,890
105年,男,25877,224,2132,4273,10467,8236,545
105年,女,28774,211,3182,4161,11245,9630,345
106年,合計,54843,621,4643,8398,21579,18656,946
106年,男,26087,326,2052,4166,10346,8621,576
106年,女,28756,295,2591,4232,11233,10035,370
107年,合計,62015,544,4559,8782,23596,23460,1074
107年,男,28465,317,2089,4188,10888,10314,669
107年,女,33550,227,2470,4594,12708,13146,405
108年,合計,54120,548,4872,8077,20123,19168,1332
108年,男,25675,320,2132,4053,9729,8631,810
108年,女,28445,228,2740,4024,10394,10537,522
109年,合計,71253,722,7429,11251,24481,25265,2105
109年,男,31398,338,3058,5233,11105,10540,1124
109年,女,39855,384,4371,6018,13376,14725,981
110年,合計,62454,854,11856,8214,18435,21332,1763
110年,男,27438,405,5016,4093,8407,8629,888
110年,女,35016,449,6840,4121,10028,12703,875
